id	occurrences	char	shape_id
g161	856	随	b99fd17b205eff7b
g162	846	掛	8b3671b3686fa32f
g163	828	配	d2094c5a870cd429
g164	798	僕	90658c21be11c32b
g165	796	予	0454ed3ddde2d987
g166	796	法	5f434234740dd83d
g167	792	右	f6ebe3499e2529f1
g168	784	況	2e4f236cdf1619c0
g169	776	給	147c21aa9dddd13d
g170	776	乗	bab3e17b3307e87a
g171	774	背	b4e677982329c931
g172	764	密	db99c7a1be2a18bb
g173	760	供	a19e6cdc0a5a1d43
g174	756	犬	5ffc11cbdfb75ad9
g175	756	圧	8e0af381854fb8c7
g176	752	頂	bb8df549acf639ff
g177	742	左	05c15273762aa6a2
g178	740	相	42336ae1624384fb
g179	740	強	1378c65531e4d972
g180	732	集	522d51cc038ea211
g181	728	普	0d918a830dab3b85
g182	718	危	dfa232aace922b9a
g183	718	壊	898280f8ba369a54
g184	714	取	a82980eb4ab3f05d
g185	704	殺	4184425d425ee405
g186	704	景	c9304033f9a6493f
g187	692	雄	6ca249a6d1a3aa70
g188	692	握	978be883c21b576b
g189	690	棄	ea680d55ca2806c7
g190	688	悔	7910fd06bbd33326
g191	684	依	a766568204313e7c
g192	684	諜	32f416fb70d4d813
g193	682	攻	1775fc9a63097257
g194	676	胆	71e7bae4450d8f64
g195	674	様	dd05e1fd584ca230
g196	674	日	afd1c03936382d7b
g197	672	盾	7a4aa19779d047c5
g198	672	沢	c080a472ec4fcee2
g199	672	死	d9f600dddd6b776f
g200	664	肘	51988a0c600c0ea3
g201	656	娘	1c805534c0366b57
g202	656	局	f1aff5fc7713831f
g203	654	等	d8d6f64174781be1
g204	652	先	0e61f5eccf2a0cb2
g205	652	清	48b4b4474a21f3b0
g206	634	憶	361e7329ab350601
g207	632	矛	3c64e4874888c979
g208	632	断	1c8cc2144b0f16f1
g209	624	築	ac62ff35b6087c2d
g210	624	緻	09360eb731a33cbf
g211	620	判	9edb7d7b106f6b96
g212	612	年	60ec8be96b5e130e
g213	610	組	06746e72618b287e
g214	600	基	919c17bb60827dbc
g215	596	険	136da0d9a95069f2
g216	586	編	8a55924b0d90308d
g217	586	崇	e7266456dbf13412
g218	578	西	46881dc41843589d
g219	576	筋	f3f0d5d13439bd57
g220	574	式	bc68533983ded17a
g221	572	単	011c224736e3ff76
g222	570	比	3f3b5b39c504e8ca
g223	568	枢	3b1a9e217fe01f2b
g224	568	質	6b109660b8c08206
g225	562	問	709f335c1b27e861
g226	560	頼	b6713b5bfcccaa0d
g227	552	凝	e6ef93360e48e5f6
g228	546	緒	5cab288498edea1a
g229	536	佐	925e4a704dd5c414
g230	536	資	e5682ae2e904d7ee
g231	534	稼	2c53e0e39e3a6a5b
g232	532	焦	ee851abeaf51b9ea
g233	524	芳	9a38ec0ae3b1565a
g234	516	決	270f0a242eea68bc
g235	504	経	9059b3f7142a84ab
g236	500	進	aaa815d3c7acbf57
g237	498	着	3f593f126eb062b1
g238	496	兼	2c9ea1bb748a420c
g239	496	莢	f2477927857772b2
g240	486	聴	9060ac2c5e580fdf
g241	484	内	dc0f64942c4c9a35
g242	484	各	5e403901286c58cb
g243	476	甲	0a947ae1067d04eb
g244	474	削	f29417f23aa6f76e
g245	474	勝	fc8ae960febd7ddc
g246	470	俺	2bee63775f15fe64
g247	470	羽	ee5ff4aaa4163db1
g248	464	樹	69628c22deffbf12
g249	464	同	370698107cee469e
g250	462	落	4fa1df9ab685623d
g251	458	次	b2d43965ae34a61d
g252	456	得	81fbe6c8be3f75b2
g253	456	斐	78aad92e6fd96dcc
g254	452	車	d3552f7a66572505
g255	448	澄	fd0f94eea1df3dba
g256	444	差	cd067686e4e96270
g257	442	火	113f45cb7c7d7454
g258	442	利	12370f449583bc4d
